,Function,HS_BestFit,HS_AvgFit,HS_MeanIter,FA_BestFit,FA_AvgFit,FA_MeanIter,ABC_BestFit,ABC_AvgFit,ABC_MeanIter,GA_BestFit,GA_AvgFit,GA_MeanIter,Your_SA_BestFit,Your_SA_AvgFit,Your_SA_MeanIter,Your_PSO_BestFit,Your_PSO_AvgFit,Your_PSO_MeanIter,Your_Hybrid_BestFit,Your_Hybrid_AvgFit,Your_Hybrid_MeanIter
0,f1 (Rosenbrock),11176976.291940507,21354212.781672366,429,190391448.79563224,245627841.28727984,11,197112.60275381,647603.7106674424,477,7165.349878651985,26260.72505609715,471,44762553.944126844,148701050.72140446,498,975.9262267897683,44397.25172172718,498,136.7880246622135,478.9877573559599,498
1,f2 (Ackley),15.496033215282022,16.74629226777862,457,19.996160355481045,20.45112556425829,21,4.866206526873242,6.11051874946258,490,5.718824876447414,10.20714406551376,439,20.606374396197584,20.843860491308075,23,0.8480380094849918,13.109828921386367,434,1.7126145221578715,14.932300278186077,498
2,f3 (Levy),24.241940692496428,39.174791055591704,454,146.3301792583289,189.26218054168285,16,13.696582217042465,22.0800428204704,439,7.672574633547953,15.450853494899198,412,128.70283496737505,183.60095411194257,293,2.9634327319578704,15.523481156700575,498,5.805031491209213,16.727521124466698,498
3,f4 (Sphere),7456.730057735477,12470.672232538624,440,47298.45552483528,68993.89021835921,3,100.4037366427331,198.45098362962057,490,95.40436776374065,681.4006389703447,495,30872.809225094847,49481.53795929685,497,5.930800441007292,1516.5772646668852,498,0.08718806231245836,1.2076788099883642,499
4,f5 (SumSquare),953.9489118852259,1692.0730658713765,453,8047.8049328207035,9736.942046756361,7,11.20312635039026,19.385250085918315,491,215.13528278157008,310.7680060784172,456,3986.3625611201305,6923.937667323665,497,2.873531248717617,884.0134249737388,498,0.14891139749059376,0.6656273565973734,499
5,f6 (Zakharov),247.08568075278336,399.90195778374186,232,289135.281623209,1690689216.3181262,5,243.62118521600033,329.3363815641569,359,203.92253042652015,321.54373695780015,416,593.9763853938998,8419611428.690409,434,283.39613709524343,512.6455350315912,493,161.13617758406065,304.3762498470734,498
6,f7 (Michalewicz),-17.257871922809485,-15.501191899928614,430,-9.679268718274932,-9.25319768523681,52,-11.750199583325038,-10.289401903236818,335,-12.639618321665068,-9.544792236675987,171,-8.898184999594703,-6.612549834036114,44,-18.610368278413773,-15.078280024671304,497,-19.951290212930132,-15.725681215901437,499
